date,orgs,category,type,species,age,count
2016,3459,gross intakes,stray/at large,dogs,adult,526467
2016,3459,gross intakes,stray/at large,dogs,up to 5mo,108315
2016,3459,gross intakes,stray/at large,dogs,unknown,134806
2016,3459,gross intakes,relinquished by owner,dogs,adult,257494
2016,3459,gross intakes,relinquished by owner,dogs,up to 5mo,78496
2016,3459,gross intakes,relinquished by owner,dogs,unknown,50745
2016,3459,gross intakes,transfer in from agency,dogs,adult,193539
2016,3459,gross intakes,transfer in from agency,dogs,up to 5mo,112425
2016,3459,gross intakes,transfer in from agency,dogs,unknown,27765
2016,3459,gross intakes,other intakes,dogs,adult,76635
2016,3459,gross intakes,other intakes,dogs,up to 5mo,22746
2016,3459,gross intakes,other intakes,dogs,unknown,12891
2016,3459,gross intakes,owner-intended euthanasia,dogs,adult,44407
2016,3459,gross intakes,owner-intended euthanasia,dogs,up to 5mo,1270
2016,3459,gross intakes,owner-intended euthanasia,dogs,unknown,8165
2016,3459,gross intakes,stray/at large,cats,adult,303244
2016,3459,gross intakes,stray/at large,cats,up to 5mo,324543
2016,3459,gross intakes,stray/at large,cats,unknown,147084
2016,3459,gross intakes,relinquished by owner,cats,adult,190626
2016,3459,gross intakes,relinquished by owner,cats,up to 5mo,123522
2016,3459,gross intakes,relinquished by owner,cats,unknown,48030
2016,3459,gross intakes,transfer in from agency,cats,adult,73769
2016,3459,gross intakes,transfer in from agency,cats,up to 5mo,89653
2016,3459,gross intakes,transfer in from agency,cats,unknown,13435
2016,3459,gross intakes,other intakes,cats,adult,38158
2016,3459,gross intakes,other intakes,cats,up to 5mo,28647
2016,3459,gross intakes,other intakes,cats,unknown,11438
2016,3459,gross intakes,owner-intended euthanasia,cats,adult,20648
2016,3459,gross intakes,owner-intended euthanasia,cats,up to 5mo,1727
2016,3459,gross intakes,owner-intended euthanasia,cats,unknown,4195
2016,3459,gross live outcomes,adoption,dogs,adult,570594
2016,3459,gross live outcomes,adoption,dogs,up to 5mo,205184
2016,3459,gross live outcomes,adoption,dogs,unknown,85009
2016,3459,gross live outcomes,return to owner,dogs,adult,212035
2016,3459,gross live outcomes,return to owner,dogs,up to 5mo,8576
2016,3459,gross live outcomes,return to owner,dogs,unknown,46292
2016,3459,gross live outcomes,transfer to another agency,dogs,adult,157666
2016,3459,gross live outcomes,transfer to another agency,dogs,up to 5mo,78704
2016,3459,gross live outcomes,transfer to another agency,dogs,unknown,42209
2016,3459,gross live outcomes,return to field,dogs,adult,778
2016,3459,gross live outcomes,return to field,dogs,up to 5mo,234
2016,3459,gross live outcomes,return to field,dogs,unknown,25
2016,3459,gross live outcomes,other live outcome,dogs,adult,7627
2016,3459,gross live outcomes,other live outcome,dogs,up to 5mo,2932
2016,3459,gross live outcomes,other live outcome,dogs,unknown,1486
2016,3459,gross live outcomes,adoption,cats,adult,354829
2016,3459,gross live outcomes,adoption,cats,up to 5mo,355904
2016,3459,gross live outcomes,adoption,cats,unknown,84109
2016,3459,gross live outcomes,return to owner,cats,adult,25333
2016,3459,gross live outcomes,return to owner,cats,up to 5mo,3656
2016,3459,gross live outcomes,return to owner,cats,unknown,5623
2016,3459,gross live outcomes,transfer to another agency,cats,adult,63131
2016,3459,gross live outcomes,transfer to another agency,cats,up to 5mo,68127
2016,3459,gross live outcomes,transfer to another agency,cats,unknown,27060
2016,3459,gross live outcomes,return to field,cats,adult,59073
2016,3459,gross live outcomes,return to field,cats,up to 5mo,9117
2016,3459,gross live outcomes,return to field,cats,unknown,18074
2016,3459,gross live outcomes,other live outcome,cats,adult,8978
2016,3459,gross live outcomes,other live outcome,cats,up to 5mo,8231
2016,3459,gross live outcomes,other live outcome,cats,unknown,3841
2016,3459,other outcomes,died in care,dogs,adult,5977
2016,3459,other outcomes,died in care,dogs,up to 5mo,5723
2016,3459,other outcomes,died in care,dogs,unknown,1972
2016,3459,other outcomes,lost in care,dogs,adult,1913
2016,3459,other outcomes,lost in care,dogs,up to 5mo,328
2016,3459,other outcomes,lost in care,dogs,unknown,627
2016,3459,other outcomes,shelter euthanasia,dogs,adult,103247
2016,3459,other outcomes,shelter euthanasia,dogs,up to 5mo,9765
2016,3459,other outcomes,shelter euthanasia,dogs,unknown,37697
2016,3459,other outcomes,owner-intended euthanasia,dogs,adult,41540
2016,3459,other outcomes,owner-intended euthanasia,dogs,up to 5mo,947
2016,3459,other outcomes,owner-intended euthanasia,dogs,unknown,8470
2016,3459,other outcomes,died in care,cats,adult,7611
2016,3459,other outcomes,died in care,cats,up to 5mo,24885
2016,3459,other outcomes,died in care,cats,unknown,6037
2016,3459,other outcomes,lost in care,cats,adult,2505
2016,3459,other outcomes,lost in care,cats,up to 5mo,1003
2016,3459,other outcomes,lost in care,cats,unknown,1418
2016,3459,other outcomes,shelter euthanasia,cats,adult,100137
2016,3459,other outcomes,shelter euthanasia,cats,up to 5mo,71128
2016,3459,other outcomes,shelter euthanasia,cats,unknown,66407
2016,3459,other outcomes,owner-intended euthanasia,cats,adult,19410
2016,3459,other outcomes,owner-intended euthanasia,cats,up to 5mo,1961
2016,3459,other outcomes,owner-intended euthanasia,cats,unknown,4527
